item_code,item_name,material,finish,price_retail,price_wholesale,quantity,updated
F-101,Teak Coffee Table,Teak,Natural Matte,5200,4600,12,2026-07-20
F-102,Ergonomic Office Chair,Mesh,Black,3100,2700,0,2026-07-18
F-103,Sheesham Bookshelf,Sheesham,Walnut,7800,7100,6,2026-07-15
F-104,Folding Study Desk,Engineered Wood,Oak,2400,2050,30,2026-07-19
F-105,3-Seater Fabric Sofa,Pinewood Frame,Grey Fabric,18500,16800,4,2026-07-17
F-106,King Size Bed Frame,Sheesham,Honey,22400,20500,3,2026-07-16
F-107,Bar Stool Set of 2,Metal,Matte Black,3600,3150,18,2026-07-14
F-108,Shoe Rack 4-Tier,Engineered Wood,Wenge,1900,1650,25,2026-07-19
F-109,Rocking Chair,Teak,Dark Polish,6400,5800,0,2026-07-12
F-110,Dining Table 6-Seater,Mango Wood,Natural,15800,14200,5,2026-07-18
