sku,product_name,category,brand,size,color,price_mrp,price_offer,stock_qty,last_updated
VM-10001,TrendKart Wallet,Accessories,TrendKart,Free,Sky Blue,348,209,367,2026-07-03
VM-10002,HomeNest Lunch Box,Home & Kitchen,HomeNest,Std,Black,218,139,0,2026-07-18
VM-10003,DailyKart Salwar Suit Set,Womens Wear,DailyKart,XL,Beige,1458,1029,102,2026-07-11
VM-10004,TinyTribe Shorts Set,Kids Wear,TinyTribe,2-3Y,Yellow,258,209,204,2026-07-20
VM-10005,PlayPals T-Shirt Pack of 2,Kids Wear,PlayPals,10-11Y,Teal,238,199,303,2026-07-21
VM-10006,CasaValue Water Bottle 1L,Home & Kitchen,CasaValue,Std,Olive,118,79,61,2026-07-04
VM-10007,WalkNest Formal Shoes,Footwear,WalkNest,7,Green,1078,759,364,2026-07-21
VM-10008,FlexFit Bermuda Shorts,Mens Wear,FlexFit,M,Beige,498,399,348,2026-07-08
VM-10009,TrendKart Handbag,Accessories,TrendKart,Free,Beige,858,689,9,2026-07-19
VM-10010,TrendKart Handbag,Accessories,TrendKart,Free,Mustard,1038,629,92,2026-07-18
VM-10011,CasaValue Storage Box Set,Home & Kitchen,CasaValue,Std,Purple,488,299,281,2026-07-03
VM-10012,FlexFit Polo T-Shirt,Mens Wear,FlexFit,XL,Maroon,688,349,216,2026-07-15
VM-10013,CasaValue Storage Box Set,Home & Kitchen,CasaValue,Std,Black,598,419,78,2026-07-14
VM-10014,FloraBelle Denim Jeans,Womens Wear,FloraBelle,XXL,Sky Blue,828,419,348,2026-07-20
VM-10015,SilkRoute Leggings,Womens Wear,SilkRoute,XXL,Maroon,398,199,186,2026-07-01
VM-10016,RoyalThread Cargo Pants,Mens Wear,RoyalThread,S,Beige,858,429,395,2026-07-03
VM-10017,HomeNest Curtain Set,Home & Kitchen,HomeNest,Std,Mustard,568,459,7,2026-07-10
VM-10018,WalkNest Bellies,Footwear,WalkNest,6,Teal,408,249,0,2026-07-19
VM-10019,CasaValue Towel Set,Home & Kitchen,CasaValue,Std,Beige,248,129,0,2026-07-11
VM-10020,FlexFit Kurta,Mens Wear,FlexFit,XL,Sky Blue,488,299,316,2026-07-08
VM-10021,StrideMax School Shoes,Footwear,StrideMax,6,Grey,728,589,237,2026-07-15
VM-10022,TrendKart Backpack,Accessories,TrendKart,Free,White,868,609,4,2026-07-07
VM-10023,HomeNest Casserole Set,Home & Kitchen,HomeNest,Std,Purple,808,649,59,2026-07-18
VM-10024,UrbanEdge Cotton T-Shirt,Mens Wear,UrbanEdge,M,Navy,258,209,16,2026-07-13
VM-10025,DailyKart Casual Shirt,Mens Wear,DailyKart,XL,Black,568,459,237,2026-07-16
VM-10026,SilkRoute Palazzo Pants,Womens Wear,SilkRoute,S,Olive,628,319,0,2026-07-19
VM-10027,StrideMax Sandals,Footwear,StrideMax,7,Navy,298,149,0,2026-07-19
VM-10028,FloraBelle Nightwear Set,Womens Wear,FloraBelle,XL,Navy,728,509,125,2026-07-08
VM-10029,TinyTribe Jeans,Kids Wear,TinyTribe,8-9Y,Pink,508,259,255,2026-07-19
VM-10030,FlexFit Polo T-Shirt,Mens Wear,FlexFit,M,Sky Blue,528,269,210,2026-07-06
VM-10031,SprintZa Formal Shoes,Footwear,SprintZa,10,Black,988,499,0,2026-07-04
VM-10032,TrendKart Hair Accessories Set,Accessories,TrendKart,Free,Sky Blue,178,109,125,2026-07-17
VM-10033,StrideMax Formal Shoes,Footwear,StrideMax,9,Navy,958,479,1,2026-07-21
VM-10034,PlayPals Shorts Set,Kids Wear,PlayPals,10-11Y,Teal,478,239,4,2026-07-18
VM-10035,FlexFit Cargo Pants,Mens Wear,FlexFit,M,Purple,608,429,41,2026-07-07
VM-10036,TrendKart Cap,Accessories,TrendKart,Free,Green,298,179,8,2026-07-14
VM-10037,RoyalThread Casual Shirt,Mens Wear,RoyalThread,M,Purple,578,349,0,2026-07-16
VM-10038,DailyKart Palazzo Pants,Womens Wear,DailyKart,L,Green,398,239,1,2026-07-13
VM-10039,TinyTribe Ethnic Kurta Set,Kids Wear,TinyTribe,6-7Y,Sky Blue,768,619,0,2026-07-04
VM-10040,PlayPals Shorts Set,Kids Wear,PlayPals,2-3Y,Sky Blue,268,219,394,2026-07-14
VM-10041,HomeNest Doormat,Home & Kitchen,HomeNest,Std,Brown,188,99,21,2026-07-18
VM-10042,StyleDock Cap,Accessories,StyleDock,Free,Purple,208,149,389,2026-07-17
VM-10043,JuniorJoy Jeans,Kids Wear,JuniorJoy,6-7Y,Brown,658,399,236,2026-07-06
VM-10044,KitchQueen Blanket Single,Home & Kitchen,KitchQueen,Std,Brown,838,589,241,2026-07-20
VM-10045,StyleDock Handbag,Accessories,StyleDock,Free,Teal,728,589,0,2026-07-10
VM-10046,KitchQueen Blanket Single,Home & Kitchen,KitchQueen,Std,Navy,848,509,0,2026-07-02
VM-10047,FloraBelle Denim Jeans,Womens Wear,FloraBelle,XL,Teal,1408,849,274,2026-07-08
VM-10048,FloraBelle Winter Shrug,Womens Wear,FloraBelle,XL,Grey,548,329,0,2026-07-18
VM-10049,DailyKart Anarkali Kurta,Womens Wear,DailyKart,XL,Red,1308,919,334,2026-07-14
VM-10050,HomeNest Casserole Set,Home & Kitchen,HomeNest,Std,Mustard,788,479,287,2026-07-21
VM-10051,DailyKart Saree Georgette,Womens Wear,DailyKart,L,Navy,808,569,184,2026-07-03
VM-10052,MissTrend Leggings,Womens Wear,MissTrend,M,Brown,378,229,233,2026-07-11
VM-10053,KitchQueen Casserole Set,Home & Kitchen,KitchQueen,Std,White,988,799,0,2026-07-19
VM-10054,StrideMax Slippers,Footwear,StrideMax,8,Green,258,209,397,2026-07-20
VM-10055,MissTrend Denim Jeans,Womens Wear,MissTrend,XL,Sky Blue,1228,619,193,2026-07-06
VM-10056,SprintZa Sandals,Footwear,SprintZa,9,Black,628,319,350,2026-07-05
VM-10057,StrideMax Sandals,Footwear,StrideMax,9,Sky Blue,458,279,188,2026-07-13
VM-10058,JuniorJoy Jeans,Kids Wear,JuniorJoy,8-9Y,Navy,318,159,0,2026-07-21
VM-10059,FlexFit Cotton T-Shirt,Mens Wear,FlexFit,S,Olive,398,239,85,2026-07-04
VM-10060,KitchQueen Towel Set,Home & Kitchen,KitchQueen,Std,Sky Blue,308,159,0,2026-07-19
VM-10061,DailyKart Slim Fit Jeans,Mens Wear,DailyKart,M,Brown,698,419,377,2026-07-20
VM-10062,UrbanEdge Bermuda Shorts,Mens Wear,UrbanEdge,XXL,Green,478,339,280,2026-07-01
VM-10063,StrideMax Slippers,Footwear,StrideMax,8,Purple,338,279,5,2026-07-17
VM-10064,StyleDock Sunglasses,Accessories,StyleDock,Free,Teal,378,269,65,2026-07-15
VM-10065,DailyKart Denim Jeans,Womens Wear,DailyKart,S,Yellow,1238,869,6,2026-07-12
VM-10066,JuniorJoy Romper,Kids Wear,JuniorJoy,10-11Y,Sky Blue,208,129,144,2026-07-16
VM-10067,CasaValue Towel Set,Home & Kitchen,CasaValue,Std,Mustard,488,249,171,2026-07-13
VM-10068,StyleDock Cap,Accessories,StyleDock,Free,Green,278,199,302,2026-07-12
VM-10069,StyleDock Watch Analog,Accessories,StyleDock,Free,Pink,498,249,0,2026-07-18
VM-10070,TrendKart Belt,Accessories,TrendKart,Free,Olive,238,169,120,2026-07-08
VM-10071,JuniorJoy Shorts Set,Kids Wear,JuniorJoy,10-11Y,Black,288,209,48,2026-07-10
VM-10072,StyleDock Belt,Accessories,StyleDock,Free,Grey,338,239,266,2026-07-11
VM-10073,SilkRoute Printed Kurti,Womens Wear,SilkRoute,S,Mustard,778,389,0,2026-07-19
VM-10074,TrendKart Backpack,Accessories,TrendKart,Free,Red,458,279,306,2026-07-20
VM-10075,HomeNest Blanket Single,Home & Kitchen,HomeNest,Std,Brown,1018,719,240,2026-07-19
VM-10076,CasaValue Bedsheet Double,Home & Kitchen,CasaValue,Std,Grey,758,459,0,2026-07-06
VM-10077,FloraBelle Leggings,Womens Wear,FloraBelle,S,Maroon,288,239,261,2026-07-02
VM-10078,SilkRoute Saree Georgette,Womens Wear,SilkRoute,S,Teal,1378,829,341,2026-07-07
VM-10079,SprintZa Casual Sneakers,Footwear,SprintZa,7,Beige,798,479,3,2026-07-10
VM-10080,KitchQueen Blanket Single,Home & Kitchen,KitchQueen,Std,Teal,1048,739,160,2026-07-18
VM-10081,StrideMax Slippers,Footwear,StrideMax,9,White,238,169,67,2026-07-19
VM-10082,CasaValue Bedsheet Double,Home & Kitchen,CasaValue,Std,Sky Blue,838,509,286,2026-07-09
VM-10083,DailyKart Nightwear Set,Womens Wear,DailyKart,S,Mustard,608,429,191,2026-07-04
VM-10084,DailyKart Casual Top,Womens Wear,DailyKart,L,Mustard,458,229,66,2026-07-09
VM-10085,JuniorJoy Frock,Kids Wear,JuniorJoy,10-11Y,Black,548,439,117,2026-07-12
VM-10086,CasaValue Casserole Set,Home & Kitchen,CasaValue,Std,Teal,718,509,88,2026-07-15
VM-10087,TrendKart Watch Analog,Accessories,TrendKart,Free,Black,808,489,0,2026-07-18
VM-10088,StrideMax Casual Sneakers,Footwear,StrideMax,9,Grey,608,369,387,2026-07-17
VM-10089,StyleDock Sunglasses,Accessories,StyleDock,Free,Mustard,358,289,95,2026-07-07
